,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
13,2024-01-01 13:11:30,FOXNEWSW,2,FOXNEWSW_20240101_130000_FOX_and_Friends/start/660,ALERT. . DEC 2023 BORDER CROSSINGS HIT NEW RECORD HIGH,ALERT DEC 2023 BORDER CROSSINGS HIT NEW RECORD HIGH,ALERT DEC 2023 BORDER CROSSINGS HIT NEW RECORD HIGH
14,2024-01-01 13:12:00,FOXNEWSW,2,FOXNEWSW_20240101_130000_FOX_and_Friends/start/720,7 L. MIGRANT ENCOUNTERS HIT RECORD 300K+ IN DEC 2023,7 L MIGRANT ENCOUNTERS HIT RECORD 300K IN DEC 2023,7 L MIGRANT ENCOUNTERS HIT RECORD 300K IN DEC 2023
15,2024-01-01 13:12:14,FOXNEWSW,2,FOXNEWSW_20240101_130000_FOX_and_Friends/start/720,B e. CBP: 785K+ MIGRANT ENCOUNTERS SINCE OCTOBER 1,B e CBP 785K MIGRANT ENCOUNTERS SINCE OCTOBER 1,CBP 785K MIGRANT ENCOUNTERS SINCE OCTOBER 1
18,2024-01-01 15:19:11,FOXNEWSW,4,FOXNEWSW_20240101_150000_Fox_News_Live/start/1140,CBP SOURCES 302K MIGRANT ENCOUNTERS IN DECEMBER,CBP SOURCES 302K MIGRANT ENCOUNTERS IN DECEMBER,CBP SOURCES 302K MIGRANT ENCOUNTERS IN DECEMBER
21,2024-01-01 17:16:57,CNNW,2,CNNW_20240101_170000_CNN_News_Central/start/960,"BIDEN BEGINS 2024 FACING WARS, FUNDING FIGHTS & BORDER CRISIS",BIDEN BEGINS 2024 FACING WARS FUNDING FIGHTS BORDER CRISIS,BIDEN BEGINS 2024 FACING BORDER CRISIS
22,2024-01-01 18:15:19,FOXNEWSW,2,FOXNEWSW_20240101_180000_Fox_News_Live/start/900,.. CHICAGO MAYOR SLAMS TX GOV ABBOTT OVER MIGRANTS,CHICAGO MAYOR SLAMS TX GOV ABBOTT OVER MIGRANTS,CHICAGO MAYOR SLAMS TX GOV ABBOTT OVER MIGRANTS
23,2024-01-01 18:22:32,FOXNEWSW,7,FOXNEWSW_20240101_180000_Fox_News_Live/start/1320,: e. CA NOW OFFERS HEALTH INSURANCE FOR MIGRANTS,e CA NOW OFFERS HEALTH INSURANCE FOR MIGRANTS,e CA NOW OFFERS HEALTH INSURANCE FOR MIGRANTS
27,2024-01-01 20:01:40,CNNW,21,CNNW_20240101_200000_CNN_News_Central/start/60,MORE THAN 350 MIGRANTS FLOWN FROM TEXAS TO ILLINOIS,MORE THAN 350 MIGRANTS FLOWN FROM TEXAS TO ILLINOIS,BIDEN ADMIN INSIST BORDER IS SECURE
28,2024-01-01 20:22:42,MSNBCW,2,MSNBCW_20240101_200000_Jessica_Layton_Reports/start/1320,14 RECORD 300K MIGRANTS CROSSED SOUTHERN BORDER IN DEC.,14 RECORD 300K MIGRANTS CROSSED SOUTHERN BORDER IN DEC,MORE THAN 350 MIGRANTS FLOWN FROM TEXAS TO ILLINOIS
29,2024-01-01 20:42:09,CNNW,21,CNNW_20240101_200000_CNN_News_Central/start/2520,TEXAS GOVERNOR SENDS FLIGHT OF MIGRANTS TO CHICAGO AREA,TEXAS GOVERNOR SENDS FLIGHT OF MIGRANTS TO CHICAGO AREA,14 RECORD 300K MIGRANTS CROSSED SOUTHERN BORDER IN DEC
30,2024-01-01 20:42:31,CNNW,3,CNNW_20240101_200000_CNN_News_Central/start/2520,"CHIGAGO MAYOR: MIGRANT FLOW TO CITIES ""UNSUSTAINABLE""",CHIGAGO MAYOR MIGRANT FLOW TO CITIES UNSUSTAINABLE,CHICAGO MAYOR MIGRANT FLOW TO CITIES UNSUSTAINABLE
31,2024-01-01 20:44:52,CNNW,10,CNNW_20240101_200000_CNN_News_Central/start/2640,CHICAGO OFFICIALS CALL FOR MORE FEDERAL HELP IN MIGRANT RELOCATION,CHICAGO OFFICIALS CALL FOR MORE FEDERAL HELP IN MIGRANT RELOCATION,CHICAGO OFFICIALS CALL FOR MORE FEDERAL HELP IN MIGRANT RELOCATION
32,2024-01-01 20:47:08,CNNW,10,CNNW_20240101_200000_CNN_News_Central/start/2820,350+ MIGRANTS SENT FROM TEXAS TO ILLINOIS. BEFORE BEING ESCORTED TO CHICAGO AREA,350 MIGRANTS SENT FROM TEXAS TO ILLINOIS BEFORE BEING ESCORTED TO CHICAGO AREA,350 MIGRANTS SENT FROM TEXAS TO ILLINOIS BEFORE BEING ESCORTED TO CHICAGO AREA
33,2024-01-01 21:00:16,BBCNEWS,4,,'UK migrant crossings drop,UK migrant crossings drop,UK migrant crossings drop
35,2024-01-01 22:29:31,FOXNEWSW,2,FOXNEWSW_20240101_220000_The_Five/start/1740,ANV e Â£V. - MIGRANT ENCOUNTERS HIT RECORD HIGH FOR DECEMBER,ANV e V MIGRANT ENCOUNTERS HIT RECORD HIGH FOR DECEMBER,MIGRANT ENCOUNTERS HIT RECORD HIGH FOR DECEMBER
36,2024-01-01 23:05:00,FOXNEWSW,2,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/300,"BURSTING BORDER. MORE THAN 300,000 MIGRANTS PROCESSED IN DECEMBER",BURSTING BORDER MORE THAN 300000 MIGRANTS PROCESSED IN DECEMBER,"MORE THAN 300,000 MIGRANTS PROCESSED IN DECEMBER"
37,2024-01-01 23:05:24,FOXNEWSW,2,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/300,[ Â» BRANDON JOHNSON (D) | CHICAGO MAYOR |. MIGRANT MOVEMENTS,BRANDON JOHNSON D CHICAGO MAYOR MIGRANT MOVEMENTS,BRANDON JOHNSON D CHICAGO MAYOR MIGRANT MOVEMENTS
38,2024-01-01 23:05:26,FOXNEWSW,3,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/300,MIGRANT MOVEMENTS. FEDERAL AND LOCAL GOVERNMENTS OPPOSE TEXASPOLICIES |,MIGRANT MOVEMENTS FEDERAL AND LOCAL GOVERNMENTS OPPOSE TEXASPOLICIES,MIGRANT MOVEMENTS FEDERAL AND LOCAL GOVERNMENTS OPPOSE TEXAS POLICIES
42,2024-01-01 23:56:02,FOXNEWSW,4,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/3360,NO SANCTUARY. MIGRANT CRISIS IMPACTS CITIES AND SUBURBS,NO SANCTUARY MIGRANT CRISIS IMPACTS CITIES AND SUBURBS,IMMIGRATION INFLUX RECORD-BREAKING MIGRANT ENCOUNTERS IN DECEMBER
43,2024-01-01 23:58:06,FOXNEWSW,8,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/3480,MIGRANT SURGE. PRESIDENT BIDEN FACING CRITICISM FOR BORDER POLICIES,MIGRANT SURGE PRESIDENT BIDEN FACING CRITICISM FOR BORDER POLICIES,NO SANCTUARY MIGRANT CRISIS IMPACTS CITIES AND SUBURBS
44,2024-01-01 23:59:40,FOXNEWSW,2,FOXNEWSW_20240101_230000_Special_Report_With_Bret_Baier/start/3540,BORDER INSECURITY. HOW MIGRANT CRISIS SHAPES 2024 RACE,BORDER INSECURITY HOW MIGRANT CRISIS SHAPES 2024 RACE,MIGRANT SURGE PRESIDENT BIDEN FACING CRITICISM FOR BORDER POLICIES
47,2024-01-02 03:16:04,BBCNEWS,5,BBCNEWS_20240102_030000_BBC_News/start/960,Migration set to be major issue in UK general election,Migration set to be major issue in UK general election,Migration set to be major issue in UK general election
48,2024-01-02 03:20:17,MSNBCW,45,MSNBCW_20240102_030000_The_Last_Word_With_Lawrence_ODonnell/start/1200,. VP HARRIS ON TRUMP'S RECENT ANTI-IMMIGRANT REMARKS,VP HARRIS ON TRUMPS RECENT ANTIIMMIGRANT REMARKS,VP HARRIS ON TRUMPS RECENT ANTIIMMIGRANT REMARKS
50,2024-01-02 08:30:19,CNNW,8,CNNW_20240102_080000_CNN_Newsroom_Live/start/1800,NYC MAYOR ON MIGRANT CRISIS,NYC MAYOR ON MIGRANT CRISIS,NYC MAYOR ON MIGRANT CRISIS
51,2024-01-02 08:33:51,CNNW,10,CNNW_20240102_080000_CNN_Newsroom_Live/start/1980,OFFICIALS: MIGRANT BUSES BOUND FOR NEW YORK STOPPING. AT NEW JERSEY TRAIN STATIONS TO AVOID NEW RESTRICTIONS,OFFICIALS MIGRANT BUSES BOUND FOR NEW YORK STOPPING AT NEW JERSEY TRAIN STATIONS TO AVOID NEW RESTRICTIONS,OFFICIALS MIGRANT BUSES BOUND FOR NEW YORK STOPPING AT NEW JERSEY TRAIN STATIONS TO AVOID NEW RESTRICTIONS
52,2024-01-02 08:36:32,CNNW,29,CNNW_20240102_080000_CNN_Newsroom_Live/start/2160,MAYOR: NEW YORK CITY DEALING WITH SURGE IN MIGRANT ARRIVALS,MAYOR NEW YORK CITY DEALING WITH SURGE IN MIGRANT ARRIVALS,MAYOR NEW YORK CITY DEALING WITH SURGE IN MIGRANT ARRIVALS
53,2024-01-02 10:04:00,FOXNEWSW,3,FOXNEWSW_20240102_100000_FOX__Friends_First/start/240,BUS-LOADS OF MIGRANTS DROPPED OFF IN NJ SUBURB,BUSLOADS OF MIGRANTS DROPPED OFF IN NJ SUBURB,BUSLOADS OF MIGRANTS DROPPED OFF IN NJ SUBURB
55,2024-01-02 10:18:15,MSNBCW,2,MSNBCW_20240102_100000_Way_Too_Early_With_Jonathan_Lemire/start/1080,' MIGRANTS ON BUSES FROM TX & LA DROPPED OFF. IN NEW JERSEY EN ROUTE TO NEW YORK CITY,MIGRANTS ON BUSES FROM TX LA DROPPED OFF IN NEW JERSEY EN ROUTE TO NEW YORK CITY,MIGRANTS ON BUSES FROM TX LA DROPPED OFF IN NEW JERSEY EN ROUTE TO NEW YORK CITY
56,2024-01-02 10:33:13,MSNBCW,4,MSNBCW_20240102_100000_Way_Too_Early_With_Jonathan_Lemire/start/1980,"CONGRESS CLASHES OVER IMMIGRATION. & FUNDING FOR UKRAINE, ISRAEL",CONGRESS CLASHES OVER IMMIGRATION FUNDING FOR UKRAINE ISRAEL,CONGRESS CLASHES OVER IMMIGRATION FUNDING FOR UKRAINE ISRAEL
57,2024-01-02 10:59:40,FOXNEWSW,2,FOXNEWSW_20240102_100000_FOX__Friends_First/start/3540,"> TOMI LAHREN | OUTKICK HOST ). . MIGRANT ENCOUNTERS SHATTER MONTHLY RECORD,",TOMI LAHREN OUTKICK HOST MIGRANT ENCOUNTERS SHATTER MONTHLY RECORD,TOMI LAHREN OUTKICK HOST MIGRANT ENCOUNTERS SHATTER MONTHLY RECORD
60,2024-01-02 11:36:00,FOXNEWSW,3,FOXNEWSW_20240102_110000_FOX_and_Friends/start/2160,MIGRANT BUS CONTROVERSY,MIGRANT BUS CONTROVERSY,MIGRANT BUS CONTROVERSY
61,2024-01-02 11:42:21,FOXNEWSW,2,FOXNEWSW_20240102_110000_FOX_and_Friends/start/2520,MIGRANTS SKIRT NYC BUS RESTRICTIONS BY. BEING DROPPED OFF IN NEARBY NJ SUBURBS,MIGRANTS SKIRT NYC BUS RESTRICTIONS BY BEING DROPPED OFF IN NEARBY NJ SUBURBS,MIGRANTS SKIRT NYC BUS RESTRICTIONS BY BEING DROPPED OFF IN NEARBY NJ SUBURBS
62,2024-01-02 11:44:00,FOXNEWSW,3,FOXNEWSW_20240102_110000_FOX_and_Friends/start/2640,MIGRANT SURGE SET TO COST NYC $12B THROUGH FY 2025,MIGRANT SURGE SET TO COST NYC 12B THROUGH FY 2025,MIGRANT SURGE SET TO COST NYC 12B THROUGH FY 2025
64,2024-01-02 11:46:01,FOXNEWSW,2,FOXNEWSW_20240102_110000_FOX_and_Friends/start/2760,GROWING FALLOUT OVER BIDEN'S BORDER POLICIES,GROWING FALLOUT OVER BIDENS BORDER POLICIES,GROWING FALLOUT OVER BIDEN'S BORDER POLICIES
65,2024-01-02 12:10:40,FOXNEWSW,2,FOXNEWSW_20240102_120000_FOX_and_Friends/start/600,BIDEN RETURNS FROM VACATION AS. . BORDER SURGE WORSENS,BIDEN RETURNS FROM VACATION AS BORDER SURGE WORSENS,BIDEN RETURNS FROM VACATION AS BORDER SURGE WORSENS
66,2024-01-02 12:13:33,FOXNEWSW,4,FOXNEWSW_20240102_120000_FOX_and_Friends/start/780,MIGRANTS TAKING TRAINS FROM NJ TO NYC. AFTER BUS ARRIVALS ARE RESTRICTED,MIGRANTS TAKING TRAINS FROM NJ TO NYC AFTER BUS ARRIVALS ARE RESTRICTED,MIGRANTS TAKING TRAINS FROM NJ TO NYC AFTER BUS ARRIVALS ARE RESTRICTED
70,2024-01-02 12:53:10,CNNW,22,CNNW_20240102_120000_CNN_This_Morning/start/3180,"BUSES CARRYING ASYLUM SEEKERS FROM TEXAS, LOUISIANA. MAKE STOPS IN NJ TO AVOID NYC MAYOR'S EDICT",BUSES CARRYING ASYLUM SEEKERS FROM TEXAS LOUISIANA MAKE STOPS IN NJ TO AVOID NYC MAYORS EDICT,BUSES CARRYING ASYLUM SEEKERS FROM TEXAS AND LOUISIANA MAKE STOPS IN NJ TO AVOID NYC MAYOR'S EDICT
75,2024-01-02 13:39:59,CNNW,2,CNNW_20240102_130000_CNN_This_Morning/start/2340,DECEMBER MIGRANT SURGE AT SOUTHERN BORDER. WAS LARGEST IN MORE THAN TWO DECADES,DECEMBER MIGRANT SURGE AT SOUTHERN BORDER WAS LARGEST IN MORE THAN TWO DECADES,DECEMBER MIGRANT SURGE AT SOUTHERN BORDER WAS LARGEST IN MORE THAN TWO DECADES
76,2024-01-02 14:02:13,FOXNEWSW,2,FOXNEWSW_20240102_140000_Americas_Newsroom/start/120,"' RECORD;BREAKING 300,000+ MIGRANT ENCOUNTERS IN DEC",RECORDBREAKING 300000 MIGRANT ENCOUNTERS IN DEC,RECORDBREAKING 300000 MIGRANT ENCOUNTERS IN DEC
77,2024-01-02 14:12:35,FOXNEWSW,2,FOXNEWSW_20240102_140000_Americas_Newsroom/start/720,NYC MIGRANT FIGHT ESCALATES,NYC MIGRANT FIGHT ESCALATES,NYC MIGRANT FIGHT ESCALATES
81,2024-01-02 15:39:20,FOXNEWSW,2,FOXNEWSW_20240102_150000_Americas_Newsroom/start/2340,STAGGERING NUMBER OF MIGRANTS SLIP THROUGH CRACKS,STAGGERING NUMBER OF MIGRANTS SLIP THROUGH CRACKS,STAGGERING NUMBER OF MIGRANTS SLIP THROUGH CRACKS
82,2024-01-02 15:51:03,MSNBCW,8,MSNBCW_20240102_150000_Ana_Cabrera_Reports/start/3060,. CITIES IMPOSE NEW LIMITS ON MIGRANT,CITIES IMPOSE NEW LIMITS ON MIGRANT,CITIES IMPOSE NEW LIMITS ON MIGRANT
83,2024-01-02 16:03:14,FOXNEWSW,2,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/180,"WH ON MIGRANT BUSSING: ""STUNT...SHAMEFUL"" RSN",WH ON MIGRANT BUSSING STUNTSHAMEFUL RSN,WH ON MIGRANT BUSSING STUNTSHAMEFUL RSN
84,2024-01-02 16:36:50,FOXNEWSW,12,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2160,RPT:ABOUT 450 ILLEGAL IMMIGRANTS DROPPED OFF IN NJ,RPTABOUT 450 ILLEGAL IMMIGRANTS DROPPED OFF IN NJ,RPTABOUT 450 ILLEGAL IMMIGRANTS DROPPED OFF IN NJ
85,2024-01-02 16:37:06,FOXNEWSW,5,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2220,ILLEGAL IMMIGRANTS SENT TO NJ; SKIRT NYC BUS RULES,ILLEGAL IMMIGRANTS SENT TO NJ SKIRT NYC BUS RULES,ILLEGAL IMMIGRANTS SENT TO NJ SKIRT NYC BUS RULES
86,2024-01-02 16:38:26,FOXNEWSW,14,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2280,OVER 350 MIGRANTS FLOWN INTO CHICAGO THIS WEEKEND,OVER 350 MIGRANTS FLOWN INTO CHICAGO THIS WEEKEND,OVER 350 MIGRANTS FLOWN INTO CHICAGO THIS WEEKEND
87,2024-01-02 16:39:27,FOXNEWSW,10,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2340,BORDER HIT WITH RECORD-BREAKING MIGRANT SURGE,BORDER HIT WITH RECORDBREAKING MIGRANT SURGE,BORDER HIT WITH RECORDBREAKING MIGRANT SURGE
88,2024-01-02 16:39:37,FOXNEWSW,15,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2340,DECEMBER SHATTERS MIGRANT-ENCOUNTER RECORD,DECEMBER SHATTERS MIGRANTENCOUNTER RECORD,DECEMBER SHATTERS MIGRANTENCOUNTER RECORD
89,2024-01-02 16:39:52,FOXNEWSW,7,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2340,CBP: MORE THAN 302K MIGRANT ENCOUNTERS LAST MONTH,CBP MORE THAN 302K MIGRANT ENCOUNTERS LAST MONTH,CBP MORE THAN 302K MIGRANT ENCOUNTERS LAST MONTH
90,2024-01-02 16:42:02,FOXNEWSW,7,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2520,POLL: IMMIGRATION CONCERN UP 8 PTS FROM DEC 2022,POLL IMMIGRATION CONCERN UP 8 PTS FROM DEC 2022,POLL IMMIGRATION CONCERN UP 8 PTS FROM DEC 2022
92,2024-01-02 16:42:24,FOXNEWSW,7,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2520,POLL: DEMS LESS CONCERNED W/ IMMIGRATION THAN GOP,POLL DEMS LESS CONCERNED W IMMIGRATION THAN GOP,POLL DEMS LESS CONCERNED W IMMIGRATION THAN GOP
93,2024-01-02 16:43:12,FOXNEWSW,2,FOXNEWSW_20240102_160000_The_Faulkner_Focus/start/2580,CBP SOURCES:MIGRANTS USING FAKE PASSPORTS TO CROSS,CBP SOURCESMIGRANTS USING FAKE PASSPORTS TO CROSS,CBP SOURCES MIGRANTS USING FAKE PASSPORTS TO CROSS
94,2024-01-02 16:50:50,MSNBCW,12,MSNBCW_20240102_160000_Jose_Diaz-Balart_Reports/start/3000,. NYC PUTS NEW LIMITS ON MIGRANT,NYC PUTS NEW LIMITS ON MIGRANT,NYC PUTS NEW LIMITS ON MIGRANT
95,2024-01-02 17:28:00,FOXNEWSW,2,FOXNEWSW_20240102_170000_Outnumbered/start/1680,DECEMBER SETS RECORD WITH 302K MIGRANT ENCOUNTERS,DECEMBER SETS RECORD WITH 302K MIGRANT ENCOUNTERS,DECEMBER SETS RECORD WITH 302K MIGRANT ENCOUNTERS
96,2024-01-02 17:33:00,FOXNEWSW,4,FOXNEWSW_20240102_170000_Outnumbered/start/1980,HEALTH CARE FOR MIGRANTS TO COST CA $3.1B PER YEAR,HEALTH CARE FOR MIGRANTS TO COST CA 31B PER YEAR,HEALTH CARE FOR MIGRANTS TO COST CA 31B PER YEAR
97,2024-01-02 18:05:00,FOXNEWSW,2,FOXNEWSW_20240102_180000_America_Reports/start/300,"=. TX, LA SEND HUNDREDS OF MIGRANTS TO NEW JERSEY",TX LA SEND HUNDREDS OF MIGRANTS TO NEW JERSEY,TX LA SEND HUNDREDS OF MIGRANTS TO NEW JERSEY
98,2024-01-02 18:06:18,FOXNEWSW,5,FOXNEWSW_20240102_180000_America_Reports/start/360,MIGRANT INFLUX HITS RECORD LEVEL IN NEW FISCAL YR | &ioon (),MIGRANT INFLUX HITS RECORD LEVEL IN NEW FISCAL YR ioon,MIGRANT INFLUX HITS RECORD LEVEL IN NEW FISCAL YR
99,2024-01-02 18:08:24,FOXNEWSW,5,FOXNEWSW_20240102_180000_America_Reports/start/480,; EAGLE PASS FIRE DEPT FUNDS DEPLETED FOR MIGRANTS. |,EAGLE PASS FIRE DEPT FUNDS DEPLETED FOR MIGRANTS,EAGLE PASS FIRE DEPT FUNDS DEPLETED FOR MIGRANTS
100,2024-01-02 18:18:06,MSNBCW,5,MSNBCW_20240102_180000_Chris_Jansing_Reports/start/1080,"TX GOV. SENDS MORE MIGRANTS TO ILLINOIS, NEW JERSEY",TX GOV SENDS MORE MIGRANTS TO ILLINOIS NEW JERSEY,TX GOV SENDS MORE MIGRANTS TO ILLINOIS NEW JERSEY
101,2024-01-02 18:23:26,MSNBCW,2,MSNBCW_20240102_180000_Chris_Jansing_Reports/start/1380,' W.H. UNDER PRESSURE TO SLOW RECORD SURGE OF MIGRANTS,WH UNDER PRESSURE TO SLOW RECORD SURGE OF MIGRANTS,WH UNDER PRESSURE TO SLOW RECORD SURGE OF MIGRANTS
102,2024-01-02 18:29:00,MSNBCW,2,MSNBCW_20240102_180000_Chris_Jansing_Reports/start/1740,JUSTICE DEPT. WARNS TEXAS IT WILL SUE TO STOP. NEW STATE LAW APPROVING ARREST OF MIGRANTS,JUSTICE DEPT WARNS TEXAS IT WILL SUE TO STOP NEW STATE LAW APPROVING ARREST OF MIGRANTS,JUSTICE DEPT WARNS TEXAS IT WILL SUE TO STOP NEW STATE LAW APPROVING ARREST OF MIGRANTS
104,2024-01-02 19:21:06,BBCNEWS,6,,Asylum claims backlog,Asylum claims backlog,Asylum claims backlog
105,2024-01-02 20:15:50,FOXNEWSW,2,FOXNEWSW_20240102_200000_The_Story_With_Martha_MacCallum/start/900,MIGRANTS HEAD TOWARD U.S. AS SURGE BREAKS RECORDS,MIGRANTS HEAD TOWARD US AS SURGE BREAKS RECORDS,MIGRANTS HEAD TOWARD US AS SURGE BREAKS RECORDS
106,2024-01-02 20:40:42,MSNBCW,9,MSNBCW_20240102_200000_Katy_Tur_Reports/start/2400,. PLANE CARRYING 300+ MIGRANTS ARRIVED OUTSIDE CHICAGO,PLANE CARRYING 300 MIGRANTS ARRIVED OUTSIDE CHICAGO,PLANE CARRYING 300 MIGRANTS ARRIVED OUTSIDE CHICAGO
107,2024-01-02 20:49:38,CNNW,13,CNNW_20240102_200000_CNN_News_Central/start/2940,"HUNDREDS OF MIGRANTS DROPPED OFF IN NEW. JERSEY, BYPASSING NEW YORK CITY RESTRICTIONS",HUNDREDS OF MIGRANTS DROPPED OFF IN NEW JERSEY BYPASSING NEW YORK CITY RESTRICTIONS,HUNDREDS OF MIGRANTS DROPPED OFF IN NEW JERSEY BYPASSING NEW YORK CITY RESTRICTIONS
108,2024-01-02 20:54:11,CNNW,2,CNNW_20240102_200000_CNN_News_Central/start/3240,CHARTER BUSES CARRYING MIGRANTS ARRIVE IN NEW JERSEY,CHARTER BUSES CARRYING MIGRANTS ARRIVE IN NEW JERSEY,CHARTER BUSES CARRYING MIGRANTS ARRIVE IN NEW JERSEY
109,2024-01-02 20:55:08,CNNW,54,CNNW_20240102_200000_CNN_News_Central/start/3300,MIGRANT BUSES BOUND FOR NYC MAKING TRANSIT STOPS. AT NJ TRAIN STATIONS TO EVADE EXECUTIVE ORDER,MIGRANT BUSES BOUND FOR NYC MAKING TRANSIT STOPS AT NJ TRAIN STATIONS TO EVADE EXECUTIVE ORDER,MIGRANT BUSES BOUND FOR NYC MAKING TRANSIT STOPS AT NJ TRAIN STATIONS TO EVADE EXECUTIVE ORDER
110,2024-01-02 21:23:00,FOXNEWSW,2,FOXNEWSW_20240102_210000_Your_World_With_Neil_Cavuto/start/1380,; MIGRANTS DROPPED OFF IN NJ TO AVOID NYC BUS RULES. |,MIGRANTS DROPPED OFF IN NJ TO AVOID NYC BUS RULES,MIGRANTS DROPPED OFF IN NJ TO AVOID NYC BUS RULES
111,2024-01-02 21:27:51,FOXNEWSW,2,FOXNEWSW_20240102_210000_Your_World_With_Neil_Cavuto/start/1620,"NEW JERSEY BEING USED AS MIGRANT ""TRANSIT POINT"". |",NEW JERSEY BEING USED AS MIGRANT TRANSIT POINT,NEW JERSEY BEING USED AS MIGRANT TRANSIT POINT
114,2024-01-02 23:33:02,FOXNEWSW,2,FOXNEWSW_20240102_230000_Special_Report_With_Bret_Baier/start/1980,BLUE STATE BATTLE. MAYORS ATTEMPT TO MITIGATE MIGRANT ARRIVALS,BLUE STATE BATTLE MAYORS ATTEMPT TO MITIGATE MIGRANT ARRIVALS,BLUE STATE BATTLE MAYORS ATTEMPT TO MITIGATE MIGRANT ARRIVALS
115,2024-01-02 23:33:56,FOXNEWSW,2,FOXNEWSW_20240102_230000_Special_Report_With_Bret_Baier/start/1980,N H. MIGRANT BUS ROUTES SKIRT NEW YORK CITY RESTRICTIONS,N H MIGRANT BUS ROUTES SKIRT NEW YORK CITY RESTRICTIONS,N H MIGRANT BUS ROUTES SKIRT NEW YORK CITY RESTRICTIONS
