,date,network,duration(s),tag,original_chyron,text_cleaned,llm_text
35,2023-01-02 12:13:00,FOXNEWSW,2,FOXNEWSW_20230102_120000_FOX_and_Friends/start/780,e ST. . = e e. 14 DEAD IN ATTACK ON MEXICAN JAILNEAR U.5. BORDER |G &,e ST e e 14 DEAD IN ATTACK ON MEXICAN JAILNEAR U5 BORDER G,14 DEAD IN ATTACK ON MEXICAN JAIL NEAR US BORDER
36,2023-01-02 12:13:19,FOXNEWSW,2,FOXNEWSW_20230102_120000_FOX_and_Friends/start/780,2 L. 24 INMATES FLEE MEXICAN JAIL 9 MILES FROM EL PASO,2 L 24 INMATES FLEE MEXICAN JAIL 9 MILES FROM EL PASO,24 INMATES FLEE MEXICAN JAIL 9 MILES FROM EL PASO
37,2023-01-02 12:15:00,FOXNEWSW,4,FOXNEWSW_20230102_120000_FOX_and_Friends/start/900,ANDREW ARTHUR. FORMER IMMIGRATION JUDGE,ANDREW ARTHUR FORMER IMMIGRATION JUDGE,ANDREW ARTHUR FORMER IMMIGRATION JUDGE
38,2023-01-02 14:39:53,FOXNEWSW,4,FOXNEWSW_20230102_140000_Fox_News_Live/start/2340,MIGRANTS FACE DANGER ON BOTH SIDES OF BORDER,MIGRANTS FACE DANGER ON BOTH SIDES OF BORDER,MIGRANTS FACE DANGER ON BOTH SIDES OF BORDER
40,2023-01-02 14:44:22,CNNW,30,CNNW_20230102_140000_CNN_Newsroom/start/2640,"DOZENS OF INMATES ESCAPE MEXICAN PRISON AFTER DEADLY ATTACK. . 10 security guards, 4 prisoners killed during assault and ensuing riot",DOZENS OF INMATES ESCAPE MEXICAN PRISON AFTER DEADLY ATTACK 10 security guards 4 prisoners killed during assault and ensuing riot,DOZENS OF INMATES ESCAPE MEXICAN PRISON AFTER DEADLY ATTACK
41,2023-01-02 15:44:43,MSNBCW,3,MSNBCW_20230102_150000_Yasmin_Vossoughian_Reports/start/2640,. CANADA'S PUSH FOR MORE IMMIGRANTS TO FILL CRITICAL JOBS,CANADAS PUSH FOR MORE IMMIGRANTS TO FILL CRITICAL JOBS,CANADA'S PUSH FOR MORE IMMIGRANTS TO FILL CRITICAL JOBS
42,2023-01-02 15:46:45,MSNBCW,3,MSNBCW_20230102_150000_Yasmin_Vossoughian_Reports/start/2760,'l CANADA HOPES TO BRING IN 1.45M IMMIGRANTS BY 2025,l CANADA HOPES TO BRING IN 145M IMMIGRANTS BY 2025,CANADA HOPES TO BRING IN 145M IMMIGRANTS BY 2025
43,2023-01-02 17:26:22,FOXNEWSW,2,FOXNEWSW_20230102_170000_Outnumbered/start/1560,! ICE DEPORTATIONS DOWN COMPARED TO PAST YEARS,ICE DEPORTATIONS DOWN COMPARED TO PAST YEARS,ICE DEPORTATIONS DOWN COMPARED TO PAST YEARS
44,2023-01-02 17:29:00,FOXNEWSW,3,FOXNEWSW_20230102_170000_Outnumbered/start/1740,! MIGRANT SURGE OVERWHELMS BORDER AGENTS,MIGRANT SURGE OVERWHELMS BORDER AGENTS,MIGRANT SURGE OVERWHELMS BORDER AGENTS
48,2023-01-02 18:32:00,FOXNEWSW,4,FOXNEWSW_20230102_180000_Fox_News_Live/start/1920,L. MIGRANTS RISK DANGEROUS JOURNEY TO THE U.S.,L MIGRANTS RISK DANGEROUS JOURNEY TO THE US,MIGRANTS RISK DANGEROUS JOURNEY TO THE US
49,2023-01-02 20:00:49,FOXNEWSW,2,FOXNEWSW_20230102_190000_Fox_News_Live/start/3600,"RPT: MIGRANTS SHOW SIGNS OF ""WORSENING TRAUMA""",RPT MIGRANTS SHOW SIGNS OF WORSENING TRAUMA,MIGRANTS SHOW SIGNS OF WORSENING TRAUMA
51,2023-01-02 20:08:29,FOXNEWSW,3,FOXNEWSW_20230102_200000_Fox_News_Live/start/480,MIGRANTS FACE LONG WAIT TIMES FOR ASYLUM HEARINGS,MIGRANTS FACE LONG WAIT TIMES FOR ASYLUM HEARINGS,MIGRANTS FACE LONG WAIT TIMES FOR ASYLUM HEARINGS
52,2023-01-02 21:49:14,FOXNEWSW,3,FOXNEWSW_20230102_210000_Your_World_With_Neil_Cavuto/start/2940,4 MILLION+ MIGRANT ENCOUNTERS UNDER BIDEN ADMIN,4 MILLION MIGRANT ENCOUNTERS UNDER BIDEN ADMIN,4 MILLION MIGRANT ENCOUNTERS UNDER BIDEN ADMIN
54,2023-01-02 21:51:08,FOXNEWSW,2,FOXNEWSW_20230102_210000_Your_World_With_Neil_Cavuto/start/3060,[ P JON ANFINOSEN | NATIONAL BORDER FAIROL COUNCIL VP. . MIGRANT SURGE CONTINUES AT SOUTHERN BORDER,P JON ANFINOSEN NATIONAL BORDER FAIROL COUNCIL VP MIGRANT SURGE CONTINUES AT SOUTHERN BORDER,MIGRANT SURGE CONTINUES AT SOUTHERN BORDER
55,2023-01-02 21:51:44,FOXNEWSW,2,FOXNEWSW_20230102_210000_Your_World_With_Neil_Cavuto/start/3060,BORDER SHELTERS OVERWHELMED AMID MIGRANT SURGE. |,BORDER SHELTERS OVERWHELMED AMID MIGRANT SURGE,BORDER SHELTERS OVERWHELMED AMID MIGRANT SURGE
57,2023-01-02 23:55:58,FOXNEWSW,2,FOXNEWSW_20230102_230000_Special_Report_With_Bret_Baier/start/3300,7] [ e SR. BORDER CRISIS. _ LAWMAKERS DEBATE IMMIGRATION POLICY,7 e SR BORDER CRISIS LAWMAKERS DEBATE IMMIGRATION POLICY,BORDER CRISIS LAWMAKERS DEBATE IMMIGRATION POLICY
60,2023-01-03 02:17:44,FOXNEWSW,3,FOXNEWSW_20230103_020000_Hannity/start/1020,SARA CARTER RIDES ALONG WITH TEXAS DPS AS THEY @ I. RESCUE A STRANDED MIGRANT LEFT BEHIND BY SMUGGLERS o~ s,SARA CARTER RIDES ALONG WITH TEXAS DPS AS THEY I RESCUE A STRANDED MIGRANT LEFT BEHIND BY SMUGGLERS o s,SARA CARTER RIDES ALONG WITH TEXAS DPS AS THEY RESCUE A STRANDED MIGRANT LEFT BEHIND BY SMUGGLERS
61,2023-01-03 06:02:11,FOXNEWSW,2,FOXNEWSW_20230103_060000_Tucker_Carlson_Tonight/start/120,MILLIONS OF ILLEGAL IMMIGRANTS HAVE CROSSED THE. BORDER. & SOME OF THEM HAVE LEFT THEIR DOGS BEHIND,MILLIONS OF ILLEGAL IMMIGRANTS HAVE CROSSED THE BORDER SOME OF THEM HAVE LEFT THEIR DOGS BEHIND,MILLIONS OF ILLEGAL IMMIGRANTS HAVE CROSSED THE BORDER SOME OF THEM HAVE LEFT THEIR DOGS BEHIND
63,2023-01-03 10:27:31,FOXNEWSW,2,FOXNEWSW_20230103_100000_FOX__Friends_First/start/1620,ADMIN DEPLOYS AIR MARSHALS TO ASSIST AT BORDER,ADMIN DEPLOYS AIR MARSHALS TO ASSIST AT BORDER,ADMIN DEPLOYS AIR MARSHALS TO ASSIST AT BORDER
64,2023-01-03 10:27:36,FOXNEWSW,5,FOXNEWSW_20230103_100000_FOX__Friends_First/start/1620,Â» JONATHAN FAHEY | FMR DHS DEPUTY ASSISTANT SECRETARY,JONATHAN FAHEY FMR DHS DEPUTY ASSISTANT SECRETARY,JONATHAN FAHEY FMR DHS DEPUTY ASSISTANT SECRETARY
66,2023-01-03 13:17:15,FOXNEWSW,2,FOXNEWSW_20230103_130000_FOX_and_Friends/start/1020,MIGRANT INFLUX FORCES FL NATL PARK TO CLOSE,MIGRANT INFLUX FORCES FL NATL PARK TO CLOSE,MIGRANT INFLUX FORCES FL NATIONAL PARK TO CLOSE
69,2023-01-03 15:36:32,FOXNEWSW,8,FOXNEWSW_20230103_150000_Americas_Newsroom/start/2160,* SURGE OF CUBAN MIGRANTS ARRIVES IN FLORIDA KEYS,SURGE OF CUBAN MIGRANTS ARRIVES IN FLORIDA KEYS,SURGE OF CUBAN MIGRANTS ARRIVES IN FLORIDA KEYS
75,2023-01-04 01:59:27,FOXNEWSW,6,FOXNEWSW_20230104_010000_Tucker_Carlson_Tonight/start/3540,"""MULTIPLE MIGRANT LANDINGS"" IN FLORIDA KEYS",MULTIPLE MIGRANT LANDINGS IN FLORIDA KEYS,MULTIPLE MIGRANT LANDINGS IN FLORIDA KEYS
77,2023-01-04 05:24:00,FOXNEWSW,2,FOXNEWSW_20230104_050000_Fox_News_at_Night/start/1440,BUS-TED. CO GOVERNOR POLIS TRANSPORTING MIGRANTS TO BIG CITIES,BUSTED CO GOVERNOR POLIS TRANSPORTING MIGRANTS TO BIG CITIES,BUSTED CO GOVERNOR POLIS TRANSPORTING MIGRANTS TO BIG CITIES
78,2023-01-04 05:25:33,FOXNEWSW,19,FOXNEWSW_20230104_050000_Fox_News_at_Night/start/1500,"| ""NATIONAL OBLIGATION"". "" NYC MAYOR: SHIFTING MIGRANTS TO LOCAL GOVT IS ""UNFAIR""",NATIONAL OBLIGATION NYC MAYOR SHIFTING MIGRANTS TO LOCAL GOVT IS UNFAIR,NATIONAL OBLIGATION NYC MAYOR SHIFTING MIGRANTS TO LOCAL GOVT IS UNFAIR
79,2023-01-04 05:26:08,FOXNEWSW,3,FOXNEWSW_20230104_050000_Fox_News_at_Night/start/1560,BORDER BY BOAT. MIAMI SECTOR MIGRANT ENCOUNTERS UP 400% SINCE OCTOBER,BORDER BY BOAT MIAMI SECTOR MIGRANT ENCOUNTERS UP 400 SINCE OCTOBER,BORDER BY BOAT MIAMI SECTOR MIGRANT ENCOUNTERS UP 400 SINCE OCTOBER
80,2023-01-04 05:26:37,FOXNEWSW,3,FOXNEWSW_20230104_050000_Fox_News_at_Night/start/1560,DOUBLE STANDARD?. CO GOV (D) FACES LITTLE CRITICISM FOR MIGRANT BUSSING,DOUBLE STANDARD CO GOV D FACES LITTLE CRITICISM FOR MIGRANT BUSSING,DOUBLE STANDARD CO GOV D FACES LITTLE CRITICISM FOR MIGRANT BUSSING
82,2023-01-04 09:19:04,FOXNEWSW,5,FOXNEWSW_20230104_090000_FOX__Friends_First/start/1140,COLORADO HELPS TO SEND MIGRANTS TO MAJOR CITIES,COLORADO HELPS TO SEND MIGRANTS TO MAJOR CITIES,COLORADO HELPS TO SEND MIGRANTS TO MAJOR CITIES
83,2023-01-04 10:04:06,FOXNEWSW,3,FOXNEWSW_20230104_100000_FOX__Friends_First/start/240,ADAMS SLAMS POLIS FOR PLAN TO SEND MIGRANTS TO NYC,ADAMS SLAMS POLIS FOR PLAN TO SEND MIGRANTS TO NYC,ADAMS SLAMS POLIS FOR PLAN TO SEND MIGRANTS TO NYC
84,2023-01-04 10:23:19,CNNW,6,CNNW_20230104_100000_Early_Start_With_Christine_Romans/start/1380,CANADA BREAKS IMMIGRATION RECORD,CANADA BREAKS IMMIGRATION RECORD,CANADA BREAKS IMMIGRATION RECORD
85,2023-01-04 10:32:20,CNNW,9,CNNW_20230104_100000_Early_Start_With_Christine_Romans/start/1920,CANADA SETS IMMIGRATION RECORD AS IT TRIES TO FILL LABOR SHORTAGE,CANADA SETS IMMIGRATION RECORD AS IT TRIES TO FILL LABOR SHORTAGE,CANADA SETS IMMIGRATION RECORD AS IT TRIES TO FILL LABOR SHORTAGE
86,2023-01-04 11:47:00,FOXNEWSW,2,FOXNEWSW_20230104_110000_FOX_and_Friends/start/2820,300 MIGRANTS ARRIVED AT DRY TORTUGAS NATIONALPARK (G200 Â£,300 MIGRANTS ARRIVED AT DRY TORTUGAS NATIONALPARK G200,300 MIGRANTS ARRIVED AT DRY TORTUGAS NATIONAL PARK
87,2023-01-04 12:14:02,FOXNEWSW,2,FOXNEWSW_20230104_120000_FOX_and_Friends/start/840,DEM COLORADO GOV BUSES MIGRANTS TONYC |(E2:Y B},DEM COLORADO GOV BUSES MIGRANTS TONYC E2Y B,DEM COLORADO GOV BUSES MIGRANTS TO NYC
88,2023-01-04 14:01:53,BBCNEWS,5,BBCNEWS_20230104_140000_BBC_News/start/60,PM's New Year speech. Key issues for Sunak: Migrant boats crossing the Channel,PMs New Year speech Key issues for Sunak Migrant boats crossing the Channel,Migrant boats crossing the Channel
90,2023-01-04 14:12:42,BBCNEWS,3,BBCNEWS_20230104_140000_BBC_News/start/720,FI'S New Year speech. . Sunak: We will stop small migrant boats,FIS New Year speech Sunak We will stop small migrant boats,FIS New Year speech Sunak We will stop small migrant boats
92,2023-01-04 14:18:35,BBCNEWS,3,BBCNEWS_20230104_140000_BBC_News/start/1080,"FI'S New Year speecn. Rishi Sunak makes five pledges on economy, NHS and migrants",FIS New Year speecn Rishi Sunak makes five pledges on economy NHS and migrants,FIS New Year speech Rishi Sunak makes five pledges on economy NHS and migrants
93,2023-01-04 16:55:00,FOXNEWSW,2,FOXNEWSW_20230104_160000_The_Faulkner_Focus/start/3300,"g R B =. . ADMS HITS BIDEN: MIGRANT CRISIS ""EMBARASSMENT"" |",g R B ADMS HITS BIDEN MIGRANT CRISIS EMBARASSMENT,BIDEN MIGRANT CRISIS EMBARRASSMENT
95,2023-01-04 19:20:54,FOXNEWSW,2,FOXNEWSW_20230104_190000_America_Reports/start/1200,CONCERNS OVER MEXICAN PRISON BREAK NEAR BORDER,CONCERNS OVER MEXICAN PRISON BREAK NEAR BORDER,CONCERNS OVER MEXICAN PRISON BREAK NEAR BORDER
96,2023-01-04 19:22:09,FOXNEWSW,12,FOXNEWSW_20230104_190000_America_Reports/start/1320,INFLUX OF CUBAN MIGRANTS ARRIVE ON FLORIDA SHORES,INFLUX OF CUBAN MIGRANTS ARRIVE ON FLORIDA SHORES,INFLUX OF CUBAN MIGRANTS ARRIVE ON FLORIDA SHORES
99,2023-01-04 23:21:48,FOXNEWSW,2,FOXNEWSW_20230104_230000_Special_Report_With_Bret_Baier/start/1260,"""THAT'S MY INTENTION"". BIDEN SIGNALS BORDER VISIT AMID MIGRANT SURGE",THATS MY INTENTION BIDEN SIGNALS BORDER VISIT AMID MIGRANT SURGE,THAT'S MY INTENTION BIDEN SIGNALS BORDER VISIT AMID MIGRANT SURGE
103,2023-01-05 05:14:58,FOXNEWSW,4,FOXNEWSW_20230105_050000_Fox_News_at_Night/start/840,MIGRANT CRISIS. PRESIDENT BIDEN PLANNING TO VISIT U.S./MEXICO BORDER,MIGRANT CRISIS PRESIDENT BIDEN PLANNING TO VISIT USMEXICO BORDER,MIGRANT CRISIS PRESIDENT BIDEN PLANNING TO VISIT USMEXICO BORDER
106,2023-01-05 10:23:00,FOXNEWSW,2,FOXNEWSW_20230105_100000_FOX__Friends_First/start/1380,AN e o T - O AR. . RPT: MIGRANT SNEAKS ON RANCH IN STOLEN ROAD ROLLER,AN e o T O AR RPT MIGRANT SNEAKS ON RANCH IN STOLEN ROAD ROLLER,Migrant sneaks on ranch in stolen road roller
107,2023-01-05 10:23:16,FOXNEWSW,2,FOXNEWSW_20230105_100000_FOX__Friends_First/start/1380,FY23: DEL RIO SECTOR BORDER ENCOUNTERS SURPASS 90K,FY23 DEL RIO SECTOR BORDER ENCOUNTERS SURPASS 90K,FY23 Del Rio sector border encounters surpass 90K
108,2023-01-05 10:24:00,FOXNEWSW,4,FOXNEWSW_20230105_100000_FOX__Friends_First/start/1440,"* PRESIDENT BIDEN SAYS HE ""INTENDS"" TO VISIT BORDER",PRESIDENT BIDEN SAYS HE INTENDS TO VISIT BORDER,President Biden says he intends to visit border
109,2023-01-05 10:24:16,FOXNEWSW,19,FOXNEWSW_20230105_100000_FOX__Friends_First/start/1440,BRANDON JUDD. NATIONAL BORDER PATROL COUNCIL PRESIDENT,BRANDON JUDD NATIONAL BORDER PATROL COUNCIL PRESIDENT,Brandon Judd National Border Patrol Council president
110,2023-01-05 10:25:53,FOXNEWSW,3,FOXNEWSW_20230105_100000_FOX__Friends_First/start/1500,MAYORKAS BLAMES CONGRESS FOR 'STRAINED' BORDER,MAYORKAS BLAMES CONGRESS FOR STRAINED BORDER,Mayorkas blames Congress for strained border
111,2023-01-05 12:12:37,FOXNEWSW,9,FOXNEWSW_20230105_120000_FOX_and_Friends/start/720,MILLIONS OF MIGRANTS FLOOD U.S. UNDER BIDEN,MILLIONS OF MIGRANTS FLOOD US UNDER BIDEN,Millions of migrants flood US under Biden
113,2023-01-05 13:43:21,FOXNEWSW,3,FOXNEWSW_20230105_130000_FOX_and_Friends/start/2580,AN. AZ OFFICIALS SOUND ALARM ON OPEN BORDER,AN AZ OFFICIALS SOUND ALARM ON OPEN BORDER,AZ officials sound alarm on open border
115,2023-01-05 14:06:00,FOXNEWSW,3,FOXNEWSW_20230105_140000_Americas_Newsroom/start/360,BIDEN PLANS TO VISIT BORDER AMID HISTORIC CRISIS |-,BIDEN PLANS TO VISIT BORDER AMID HISTORIC CRISIS,Biden plans to visit border amid historic crisis
116,2023-01-05 16:59:05,CNNW,5,CNNW_20230105_160000_At_This_Hour_With_Kate_Bolduan/start/3540,"U.S. OPENS DOOR TO LIMITED MIGRATION FROM CUBA, HAIT, NICARAGUA & VENEZUELA",US OPENS DOOR TO LIMITED MIGRATION FROM CUBA HAIT NICARAGUA VENEZUELA,"US opens door to limited migration from Cuba, Haiti, Nicaragua, Venezuela"
120,2023-01-05 22:02:00,FOXNEWSW,2,FOXNEWSW_20230105_220000_The_Five/start/120,'. BIDEN'S BORDER APP. PRESIDENT DIRECTS ASYLUM SEEKERS TO PHONE APPLICATION,BIDENS BORDER APP PRESIDENT DIRECTS ASYLUM SEEKERS TO PHONE APPLICATION,BIDEN'S BORDER APP PRESIDENT DIRECTS ASYLUM SEEKERS TO PHONE APPLICATION
121,2023-01-05 22:03:39,FOXNEWSW,4,FOXNEWSW_20230105_220000_The_Five/start/180,"TOO LITTLE, TOO LATE?. BIDEN TO VISIT BORDER AFTER MIGRANT CRISIS HITS RECORDS",TOO LITTLE TOO LATE BIDEN TO VISIT BORDER AFTER MIGRANT CRISIS HITS RECORDS,TOO LITTLE TOO LATE BIDEN TO VISIT BORDER AFTER MIGRANT CRISIS HITS RECORDS
122,2023-01-05 23:06:00,FOXNEWSW,2,FOXNEWSW_20230105_230000_Special_Report_With_Bret_Baier/start/360,""" ""DO NOT JUST SHOW UP AT THE BORDER"". l BIDEN ISSUES WARNING FOR MIGRANTS TO APPLY LEGALLY",DO NOT JUST SHOW UP AT THE BORDER l BIDEN ISSUES WARNING FOR MIGRANTS TO APPLY LEGALLY,DO NOT JUST SHOW UP AT THE BORDER - BIDEN ISSUES WARNING FOR MIGRANTS TO APPLY LEGALLY
124,2023-01-06 00:02:29,FOXNEWSW,4,FOXNEWSW_20230106_000000_Jesse_Watters_Primetime/start/120,BIDEN BEGINS TSA PRECHECK AT BORDER,BIDEN BEGINS TSA PRECHECK AT BORDER,BIDEN PINS BORDER CRISIS ON EXTREME REPUBLICANS
125,2023-01-06 00:11:00,FOXNEWSW,2,FOXNEWSW_20230106_000000_Jesse_Watters_Primetime/start/660,JOE STARTS UBER FOR ILLEGALS,JOE STARTS UBER FOR ILLEGALS,BIDEN UNVEILS NEW MEASURES TO ADDRESS MIGRANT SURGE
126,2023-01-06 04:38:47,MSNBCW,15,MSNBCW_20230106_040000_The_11th_Hour_With_Stephanie_Ruhle/start/2280,' FMR. CAPITOL POLICE CHIEF SAYS FBI. ' DHS AND PENTAGON FAILED ON JAN. 6,FMR CAPITOL POLICE CHIEF SAYS FBI DHS AND PENTAGON FAILED ON JAN 6,BIDEN UNVEILS NEW MEASURES TO ADDRESS MIGRANT SURGE Plan to allow 30k per month from Nicaragua Venezuela Haiti Cuba
127,2023-01-06 04:59:16,CNNW,2,CNNW_20230106_040000_CNN_Tonight/start/3540,ice over its 5G Home Internet service.,ice over its 5G Home Internet service,BIDEN PLANS TO PUSH CONGRESS ON IMMIGRATION REFORM
128,2023-01-06 09:11:02,FOXNEWSW,2,FOXNEWSW_20230106_090000_FOX__Friends_First/start/660,BIDEN PINS BORDER CRISIS ON 'EXTREME REPUBLICANS',BIDEN PINS BORDER CRISIS ON EXTREME REPUBLICANS,US WILL EXPEL MIGRANTS SEEKING ASYLUM IN US WHO FAIL TO SEEK IT IN COUNTRIES THEY PASS THROUGH
